archive_rank,slug,source_url,asset_system_breadth,asset_categories,retained_formats,referenced_formats,runtime_signals,retained_asset_files,retained_asset_bytes
1139,pasqua-wines,https://pasqua.it/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1229,the-ai-gallery,https://ai-gallery.ultranoir.com/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1247,chainzoku,https://chainzoku.io,2,3d_model | gpu_texture,,basis | obj,offscreen_canvas | shader_source | web_worker,0,0
1310,the-female-gaze,https://www.thefemalegaze.art,2,3d_model | gpu_texture,,glb | gltf | ktx,gltf_loader | lottie_runtime | offscreen_canvas | shader_source | web_worker | webxr,0,0
1387,wonderland-3,https://wonderland.studio/,2,3d_model | shader,,glb | glsl,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source,0,0
1397,vivatech-2022,https://vivatech2022.cher-ami.tv,2,gpu_texture | webassembly,,ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
1407,magic-bottle,https://magic.estudionk.com/,2,3d_model | shader,,fbx | glsl,offscreen_canvas | shader_source,0,0
1450,gleec,https://gleec.com/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1480,the-leap-for-mankind,https://leap-for-mankind.com/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1497,dnlsptzk-iv,https://www.danielspatzek.com,2,3d_model | gpu_texture,,gltf | ktx,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source,0,0
